reason,customer_npi,customer_id,clinic_id,vendor,integration_type,result_enabled,msh06_receiving_facility,clinic_name,updated_at,id,collision_key,rows_in_key,distinct_customers,distinct_vendors
same_customer_duplicate_rows,1588830756,6226,80080,MDHQ(Cerbo),FULL_INTEGRATION,1,6226,"Foundations, LLC",2026-05-14 21:40:37,cmjxaq48w00bd0xfqubyr2cju,1588830756|80080,2,1,1
multi_customer+multi_vendor,1588942775,32379,137932,ATHENA,FULL_INTEGRATION,1,137932,Clay Health & Care,2026-05-14 21:40:37,cmjxapyi6009x0xfqrjdnzhjm,1588942775|137932,2,2,2
multi_customer+multi_vendor,1588942775,35022,137932,,ORDER_ONLY,0,35022,Clay Health & Care,2026-06-11 23:53:05,cmqa5kvkt005p0x96o2jv1q01,1588942775|137932,2,2,2
same_customer_duplicate_rows,1598277220,11888,6767,Practice Fusion,FULL_INTEGRATION,1,6201,Apollo Medical Associates,2026-05-14 21:40:37,cmj98e75v00150xmucsczcuub,1598277220|6767,2,1,1
same_customer_duplicate_rows,1598277220,11888,6767,Practice Fusion,FULL_INTEGRATION,1,6201,Apollo Medical Associates,2026-05-14 21:40:37,cmjxapsx3008h0xfq0hy3vj6u,1598277220|6767,2,1,1
same_customer_duplicate_rows,1598850919,1873,1316,MDHQ(Cerbo),FULL_INTEGRATION,1,1873,Integrative Medical Group of Irvine,2026-05-14 21:40:37,cmjxaq4ge00bf0xfqmdtqordf,1598850919|1316,2,1,1
same_customer_duplicate_rows,1598850919,1873,1316,MDHQ(Cerbo),FULL_INTEGRATION,1,1873,Integrative Medical Group of Irvine,2026-05-14 21:40:37,cmj98pcc6001f0xt50ka7bsd1,1598850919|1316,2,1,1
same_customer_duplicate_rows,1609042472,10829,17147,MDHQ(Cerbo),FULL_INTEGRATION,1,10818,Parsley Health Virtual/Complete Care Anywhere,2026-05-14 21:40:37,cmj98pbv900150xt5jthk6rui,1609042472|17147,2,1,1
same_customer_duplicate_rows,1609042472,10829,17147,MDHQ(Cerbo),FULL_INTEGRATION,1,10818,Parsley Health Virtual/Complete Care Anywhere,2026-05-14 21:40:37,cmjxaq3dp00b50xfq3kz8jkhv,1609042472|17147,2,1,1
same_customer_duplicate_rows,1609095207,1459,75013,ATHENA,FULL_INTEGRATION,1,1459,Littleton OBGYN,2026-05-14 21:40:37,cmjxaq8dm00cf0xfq42yv47d4,1609095207|75013,2,1,1
same_customer_duplicate_rows,1609095207,1459,75013,ATHENA,FULL_INTEGRATION,1,1459,Littleton OBGYN,2026-05-14 21:40:37,cmj99owly000t0xj14rx92thg,1609095207|75013,2,1,1
same_customer_duplicate_rows,1609168608,6132,79990,POWER2PRACTICE,FULL_INTEGRATION,1,6132,Glendale Whole Health,2026-05-14 21:40:37,cmjxaqfkm00eb0xfq20zanama,1609168608|79990,2,1,1
same_customer_duplicate_rows,1609168608,6132,79990,POWER2PRACTICE,FULL_INTEGRATION,1,6132,Glendale Whole Health,2026-05-14 21:40:37,cmj99ozkb002h0xj1jv9qqlf5,1609168608|79990,2,1,1
same_customer_duplicate_rows,1619348935,3093,71698,POWER2PRACTICE,FULL_INTEGRATION,1,3093,Peak Health Group,2026-05-14 21:40:37,cmjxaqeap00dz0xfqnwkcnv25,1619348935|71698,2,1,1
same_customer_duplicate_rows,1619348935,3093,71698,POWER2PRACTICE,FULL_INTEGRATION,1,3093,Peak Health Group,2026-05-14 21:40:37,cmj99oyyf00250xj1vprroacx,1619348935|71698,2,1,1
same_customer_duplicate_rows,1619947710,7195,5744,MDHQ(Cerbo),FULL_INTEGRATION,1,7195,Be Well Family Care,2026-05-14 21:40:37,cmj99imo300210xf1a6kfsj8k,1619947710|5744,2,1,1
same_customer_duplicate_rows,1619947710,7195,5744,MDHQ(Cerbo),FULL_INTEGRATION,1,7195,Be Well Family Care,2026-05-14 21:40:37,cmjxapdth004j0xfq2auxouhl,1619947710|5744,2,1,1
same_customer_duplicate_rows,1629059274,4804,45311,MDHQ(Cerbo),FULL_INTEGRATION,1,4804,Carpathia Collaborative,2026-05-14 21:40:37,cmj99ijq5000f0xf1dfoatsf1,1629059274|45311,2,1,1
same_customer_duplicate_rows,1629059274,4804,45311,MDHQ(Cerbo),FULL_INTEGRATION,1,4804,Carpathia Collaborative,2026-05-14 21:40:37,cmjxap7my002x0xfqnep7s3sv,1629059274|45311,2,1,1
same_customer_duplicate_rows,1629190004,1999,43976,MDHQ(Cerbo),FULL_INTEGRATION,1,1999,Stengler Center for Integrative Medicine,2026-05-14 21:40:37,cmjxapatm003r0xfqlfjzolfy,1629190004|43976,2,1,1
same_customer_duplicate_rows,1629190004,1999,43976,MDHQ(Cerbo),FULL_INTEGRATION,1,1999,Stengler Center for Integrative Medicine,2026-05-14 21:40:37,cmj99il8m00190xf11b4p17sq,1629190004|43976,2,1,1
same_customer_duplicate_rows,1639227473,2744,2846,MDHQ(Cerbo),FULL_INTEGRATION,1,2744,Moday Center,2026-05-14 21:40:37,cmj98pbyn00170xt5gdjwbwta,1639227473|2846,2,1,1
same_customer_duplicate_rows,1639227473,2744,2846,MDHQ(Cerbo),FULL_INTEGRATION,1,2744,Moday Center,2026-05-14 21:40:37,cmjxaq3lo00b70xfqk3ay1d7w,1639227473|2846,2,1,1
multi_vendor,1639384183,15185,27275,POWER2PRACTICE,FULL_INTEGRATION,1,15185,The Logan Institute,2026-05-14 21:40:37,cmjklwre900450xfevjhxvm7f,1639384183|27275,2,1,2
multi_vendor,1639384183,15185,27275,MDHQ(Cerbo),FULL_INTEGRATION,1,15185,The Logan Institute,2026-05-14 21:40:37,cmjklwrha00470xfe3snl602w,1639384183|27275,2,1,2
same_customer_duplicate_rows,1639397524,1458,75124,ATHENA,FULL_INTEGRATION,1,1458,Littleton OBGYN,2026-05-14 21:40:37,cmj99owig000r0xj1tovauer7,1639397524|75124,2,1,1
same_customer_duplicate_rows,1639397524,1458,75124,ATHENA,FULL_INTEGRATION,1,1458,Littleton OBGYN,2026-05-14 21:40:37,cmjxaq85v00cd0xfqua97kvvl,1639397524|75124,2,1,1
same_customer_duplicate_rows,1649353095,3094,77494,POWER2PRACTICE,FULL_INTEGRATION,1,3094,Peak Health Group,2026-05-14 21:40:37,cmjxaqeid00e10xfqadp6lb0t,1649353095|77494,2,1,1
same_customer_duplicate_rows,1649353095,3094,77494,POWER2PRACTICE,FULL_INTEGRATION,1,3094,Peak Health Group,2026-05-14 21:40:37,cmj99oz1x00270xj1vfa1dwu0,1649353095|77494,2,1,1
same_customer_duplicate_rows,1659367662,9075,13505,MDHQ(Cerbo),FULL_INTEGRATION,1,9075,Turnpaugh Health and Wellness Center,2026-05-14 21:40:37,cmjxaq4vg00bj0xfqzjqy9lkp,1659367662|13505,2,1,1
same_customer_duplicate_rows,1659367662,9075,13505,MDHQ(Cerbo),FULL_INTEGRATION,1,9075,Turnpaugh Health and Wellness Center,2026-05-14 21:40:37,cmj99ov5m00010xj1cice3qro,1659367662|13505,2,1,1
multi_customer,1659484046,14380,6488,,ORDER_ONLY,0,,The Woodland Institute for Health and Wellness,2026-06-11 23:53:05,cmqa5kvkr002t0x96t13du77n,1659484046|6488,2,2,1
multi_customer,1659484046,5488,6488,,ORDER_ONLY,0,,The Woodland Institute for Health and Wellness,2026-06-11 23:53:05,cmqa5kvkn00120x96ksjyrf5r,1659484046|6488,2,2,1
same_customer_duplicate_rows,1659604197,33169,138608,Practice Fusion,FULL_INTEGRATION,1,33169,PrevMed Health,2026-05-14 21:40:37,cmj98e8la001z0xmudk6d1u6v,1659604197|138608,2,1,1
same_customer_duplicate_rows,1659604197,33169,138608,Practice Fusion,FULL_INTEGRATION,1,33169,PrevMed Health,2026-05-14 21:40:37,cmjxapw5e009b0xfqmcnlsw6t,1659604197|138608,2,1,1
