action,key,npi,id,customer_id,clinic_id,integration_type,vendor,result_enabled,sftp_result_path,own_rtr,own_rtr_last,cust_rtr,keep_id,keep_customer_id,clinic_name,created_at,updated_at
DELETE,1992016737|17147,1992016737,cmj98pbld000z0xt5nefetxyg,10825,17147,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxaq2qe00az0xfq627ql2gm,10825,Parsley Health Virtual/Complete Care Anywhere,2025-12-16 23:54:48,2026-05-14 21:40:37
DELETE,1710971775|NULL,1710971775,cmj98pbor00110xt5oe48hei2,10827,,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxaq2xu00b10xfq8txscwi9,10827,Parsley Health Virtual/Complete Care Anywhere,2025-12-16 23:54:49,2025-12-16 23:54:49
DELETE,1124280359|NULL,1124280359,cmj98pbrz00130xt5p8j0rp3b,10828,,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxaq35x00b30xfqbepbc6as,10828,Parsley Health Virtual/Complete Care Anywhere,2025-12-16 23:54:49,2025-12-16 23:54:49
DELETE,1609042472|17147,1609042472,cmj98pbv900150xt5jthk6rui,10829,17147,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,4,cmjxaq3dp00b50xfq3kz8jkhv,10829,Parsley Health Virtual/Complete Care Anywhere,2025-12-16 23:54:49,2026-05-14 21:40:37
DELETE,1639227473|2846,1639227473,cmj98pbyn00170xt5gdjwbwta,2744,2846,FULL_INTEGRATION,MDHQ,1,/moday/results/,0,,1,cmjxaq3lo00b70xfqk3ay1d7w,2744,Moday Center,2025-12-16 23:54:49,2026-05-14 21:40:37
DISABLE,1083683106|5183,1083683106,cmjxaq3t900b90xfq6pm7hlrr,4755,5183,FULL_INTEGRATION,MDHQ,1,/hormonal-balance/results/,10,2026-05-12 02:31:06.325,52,cmj98pc1w00190xt5zmk3ujqn,4755,Institute For Hormonal Balance,2025-06-24 19:34:55,2026-05-14 21:40:37
DELETE,1396873196|78052,1396873196,cmj98pc58001b0xt5izteuctk,4426,78052,FULL_INTEGRATION,MDHQ,1,/baw/results/,0,,0,cmjxaq40u00bb0xfqsvwyv30f,4426,Bay Area Wellness,2025-12-16 23:54:49,2026-05-14 21:40:37
DELETE,1588830756|80080,1588830756,cmj98pc8j001d0xt5hj07s855,6226,80080,FULL_INTEGRATION,MDHQ,1,/foundations/results/,0,,0,cmjxaq48w00bd0xfqubyr2cju,6226,"Foundations, LLC",2025-12-16 23:54:49,2026-05-14 21:40:37
DELETE,1598850919|1316,1598850919,cmj98pcc6001f0xt50ka7bsd1,1873,1316,FULL_INTEGRATION,MDHQ,1,/imgi/results/,0,,0,cmjxaq4ge00bf0xfqmdtqordf,1873,Integrative Medical Group of Irvine,2025-12-16 23:54:49,2026-05-14 21:40:37
DELETE,1669592630|5819,1669592630,cmjxaozul000x0xfq0eufzlrn,5139,5819,FULL_INTEGRATION,MDHQ,1,/natural-health-and-healing/results/,0,,5,cmj99iiyz00010xf1nqgemzm7,5139,Natural Health & Healing,2025-02-20 01:15:39,2026-05-14 21:40:37
DELETE,1457616708|71872,1457616708,cmj99ij3q00030xf1ibhcyj1a,7121,71872,FULL_INTEGRATION,MDHQ,1,/morcom/results/,0,,0,cmj99ikez000t0xf1m82njzmw,4317,Integrative Wellness Rx,2025-12-17 00:17:31,2026-05-14 21:40:37
DELETE,1457616708|71872,1457616708,cmjxap1du001b0xfqrc9927i5,7121,71872,FULL_INTEGRATION,MDHQ,1,/morcom/results/,0,,0,cmj99ikez000t0xf1m82njzmw,4317,Integrative Wellness Rx,2025-05-27 22:01:21,2026-05-14 21:40:37
DISABLE,1457616708|71872,1457616708,cmjxap94d003b0xfqnxnfv381,4317,71872,FULL_INTEGRATION,MDHQ,1,/morcom/results/,34,2026-05-12 01:08:29.213,195,cmj99ikez000t0xf1m82njzmw,4317,The Wellness Institute of Dallas,2025-06-06 18:36:22,2026-05-14 21:40:37
DELETE,1467740795|45311,1467740795,cmj99ij7h00050xf1x8357j9v,7160,45311,FULL_INTEGRATION,MDHQ,1,/carpathia-collaborative/results/,0,,0,cmjxap6jg002n0xfq16u1gsiy,7160,Carpathia Collaborative,2025-12-17 00:17:31,2026-05-14 21:40:37
DISABLE,1831318559|45311,1831318559,cmjxap6qz002p0xfq1hhisyt6,2895,45311,FULL_INTEGRATION,MDHQ,1,/carpathia-collaborative/results/,9,2026-04-25 04:26:16.872,68,cmj99ijb300070xf1ju6oo6qa,2895,Carpathia Collaborative,2025-06-06 11:20:32,2026-05-14 21:40:37
DELETE,1427477306|45311,1427477306,cmj99ijep00090xf1qd4uwa58,2897,45311,FULL_INTEGRATION,MDHQ,1,/carpathia-collaborative/results/,0,,0,cmjxap6zw002r0xfqvvoq9ck0,2897,Carpathia Collaborative,2025-12-17 00:17:32,2026-05-14 21:40:37
DELETE,1669410171|45311,1669410171,cmj99ijmg000d0xf11e52rypx,4275,45311,FULL_INTEGRATION,MDHQ,1,/carpathia-collaborative/results/,0,,0,cmjxap7fe002v0xfqo7lsflrc,4275,Carpathia Collaborative,2025-12-17 00:17:32,2026-05-14 21:40:37
DELETE,1629059274|45311,1629059274,cmj99ijq5000f0xf1dfoatsf1,4804,45311,FULL_INTEGRATION,MDHQ,1,/carpathia-collaborative/results/,0,,0,cmjxap7my002x0xfqnep7s3sv,4804,Carpathia Collaborative,2025-12-17 00:17:32,2026-05-14 21:40:37
DELETE,1000000019|45311,1000000019,cmj99ijtr000h0xf1sown4pch,5142,45311,FULL_INTEGRATION,MDHQ,1,/carpathia-collaborative/results/,0,,0,cmjxap7ud002z0xfqf4bnw29l,5142,Carpathia Collaborative,2025-12-17 00:17:32,2026-05-14 21:40:37
DELETE,1194240903|45311,1194240903,cmj99ijx5000j0xf1dts1rgov,5152,45311,FULL_INTEGRATION,MDHQ,1,/carpathia-collaborative/results/,0,,0,cmjxap82200310xfqbq29ctny,5152,Carpathia Collaborative,2025-12-17 00:17:32,2026-05-14 21:40:37
DELETE,1275626376|45311,1275626376,cmj99ik0u000l0xf18xh4exgf,5295,45311,FULL_INTEGRATION,MDHQ,1,/carpathia-collaborative/results/,0,,0,cmjxap89q00330xfqv6kj4zq2,5295,Carpathia Collaborative,2025-12-17 00:17:32,2026-05-14 21:40:37
DELETE,1013965045|45311,1013965045,cmj99ik4f000n0xf1ae3lfh2f,6200,45311,FULL_INTEGRATION,MDHQ,1,/carpathia-collaborative/results/,0,,0,cmjxap8h900350xfqq00rdqh8,6200,Carpathia Collaborative,2025-12-17 00:17:33,2026-05-14 21:40:37
DELETE,1366869927|4376,1366869927,cmjxap8oy00370xfqk5bvghbg,4316,4376,FULL_INTEGRATION,MDHQ,1,/morcom/results/,0,,4,cmj99ik83000p0xf1m4w1g1qq,4316,The Wellness Institute of Dallas,2025-06-06 18:36:22,2026-05-14 21:40:37
DISABLE,1952728545|4376,1952728545,cmj99ikbh000r0xf1tedmf4i4,4315,4376,FULL_INTEGRATION,MDHQ,1,/morcom/results/,1,2026-06-28 02:50:30.757,5,cmjxap8wk00390xfqvqb7z12v,4315,The Wellness Institute of Dallas,2025-12-17 00:17:33,2026-05-14 21:40:37
DELETE,1790909737|48899,1790909737,cmj99ikii000v0xf1nx2qq9x5,5973,48899,FULL_INTEGRATION,MDHQ,1,/nancyohara/results/,0,,0,cmjxap9bv003d0xfqzhi8w74g,5973,Nancy O'Hara MD and Lindsay Wells ND,2025-12-17 00:17:33,2026-05-14 21:40:37
DELETE,1306396122|48896,1306396122,cmj99ikm7000x0xf1ftn1iiib,5972,48896,FULL_INTEGRATION,MDHQ,1,/nancyohara/results/,0,,0,cmjxap9jb003f0xfq2ja8idix,5972,Nancy O'Hara MD and Lindsay Wells ND,2025-12-17 00:17:33,2026-05-14 21:40:37
DELETE,1083747265|121565,1083747265,cmj99ikpw000z0xf1cmolp4z4,4400,121565,FULL_INTEGRATION,MDHQ,1,/aiimed/results/,0,,0,cmjxap9qx003h0xfqfqtogsgn,4400,Atlanta Integrative and Internal Medicine,2025-12-17 00:17:33,2026-05-14 21:40:37
DELETE,1083747265|121565,1083747265,cmjklwywj008v0xfei8ycsg6p,2780,121565,FULL_INTEGRATION,ECW,1,/Prod/Input/,0,,0,cmjxap9qx003h0xfqfqtogsgn,4400,Atlanta Functional Medicine,2025-12-24 22:50:08,2026-05-14 21:40:37
DELETE,1770568131|4499,1770568131,cmjxap9yl003j0xfq48gko81j,4401,4499,FULL_INTEGRATION,MDHQ,1,/aiimed/results/,0,,9,cmj99iktl00110xf1bkghwa1j,4401,Atlanta Integrative and Internal Medicine,2025-06-06 21:08:53,2026-05-14 21:40:37
DELETE,1587420351|4499,1587420351,cmj99ikxb00130xf122w4yjg4,4402,4499,FULL_INTEGRATION,MDHQ,1,/aiimed/results/,0,,0,cmjxapa6g003l0xfqct4no2y3,4402,Atlanta Integrative and Internal Medicine,2025-12-17 00:17:34,2026-05-14 21:40:37
DISABLE,1124133681|47954,1124133681,cmjxapae6003n0xfq2ytnu58d,5269,47954,FULL_INTEGRATION,MDHQ,1,/frfm/results/,2,2026-04-28 06:43:17.120,12,cmj99il1300150xf1y34ty6vh,5269,Colorado Concierge Functional Medicine,2025-06-06 21:09:58,2026-05-14 21:40:37
