reason,customer_npi,customer_id,clinic_id,vendor,integration_type,result_enabled,msh06_receiving_facility,clinic_name,updated_at,id
no_clinic_id,1366543621,1975,,ATHENA,FULL_INTEGRATION,1,1975,FEM Centre (Colleyville),2026-01-02 19:58:02,cmjxaqbcz00d70xfqfxlj3eso
no_clinic_id,1427076488,1969,,ATHENA,FULL_INTEGRATION,1,1969,FEM Centre (Fort Worth),2025-12-17 00:22:30,cmj99oxdz00190xj14rd3b5o7
no_clinic_id,1427076488,1969,,ATHENA,FULL_INTEGRATION,1,1969,FEM Centre (Fort Worth),2026-01-02 19:58:01,cmjxaqa3h00cv0xfqvxun0vvw
no_clinic_id,1427327741,2900,,,ORDER_ONLY,0,,Montana Whole Health,2026-06-11 23:53:05,cmqa5kvkn000p0x96tqu6m4m9
no_clinic_id,1427574177,14442,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr002w0x967wkibo81
no_clinic_id,1447267745,14443,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr002x0x96wfvhudj1
no_clinic_id,1457724072,2870,,ATHENA,FULL_INTEGRATION,1,2870,Stetson Hills Family Medicine INT5,2026-01-02 19:58:04,cmjxaqcmc00dj0xfq5ky6mhud
no_clinic_id,1457724072,2870,,ATHENA,FULL_INTEGRATION,1,2870,Stetson Hills Family Medicine INT5,2025-12-17 00:22:31,cmj99oyjy001x0xj15vbr4vgq
npi_bad_check_digit,1472872190,5489,6488,,ORDER_ONLY,0,,The Woodland Institute for Health and Wellness,2026-06-11 23:53:05,cmqa5kvkn00130x96easwwiwb
no_clinic_id,1508964727,14415,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr002u0x96xsvaqf73
npi_bad_check_digit,1528623744,7520,10406,MDHQ(Cerbo),FULL_INTEGRATION,1,7520,The M Center for Integrative Wellness,2026-05-14 21:40:37,cmjklx61500df0xfehx5gd6aq
no_clinic_id,1548357205,2364,,,ORDER_ONLY,0,,Hypertension Institute INT5,2026-06-11 23:53:05,cmqa5kvkm000k0x967pe9ts1r
no_clinic_id,1548367923,2365,,,ORDER_ONLY,0,,Hypertension Institute INT5,2026-06-11 23:53:05,cmqa5kvkm000l0x96wfvh1hsc
no_clinic_id,1548399942,24619,,,ORDER_ONLY,0,24619,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkt004q0x96rcd4z7u2
no_clinic_id,1548421704,11728,,,ORDER_ONLY,0,,Parsley Health (4),2026-06-11 23:53:05,cmqa5kvkp00210x96q1393oxn
no_clinic_id,1548421704,14934,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr00380x96bpxnwvc7
no_clinic_id,1558324053,7145,,Practice Fusion,FULL_INTEGRATION,1,7145,Priority Health LLC - Mount Pleasant,2025-12-16 23:48:33,cmj98e81b001n0xmujrwm8spv
no_clinic_id,1558324053,7145,,Practice Fusion,FULL_INTEGRATION,1,7145,Priority Health LLC - Mount Pleasant,2026-01-02 19:57:41,cmjxapuvp008z0xfq8t0by5m3
no_clinic_id,1558520965,12250,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkq002f0x96t5gp7o5p
no_clinic_id,1568400596,2631,,Practice Fusion,FULL_INTEGRATION,1,1568400596,Maricopa MD INT5,2026-01-02 19:57:23,cmjxapgs3005b0xfqcho752rs
no_clinic_id,1568400596,2632,,,ORDER_ONLY,0,,Pinal MD INT5,2026-06-11 23:53:05,cmqa5kvkn000n0x9636v7j23v
no_clinic_id,1568669430,2868,,ATHENA,FULL_INTEGRATION,1,2868,Stetson Hills Family Medicine INT5,2025-12-17 00:22:31,cmj99oycz001t0xj16q049hr2
no_clinic_id,1568669430,2868,,ATHENA,FULL_INTEGRATION,1,2868,Stetson Hills Family Medicine INT5,2026-01-02 19:58:03,cmjxaqc7800df0xfqmk91iulh
no_clinic_id,1598833899,24620,,,ORDER_ONLY,0,24620,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkt004r0x964fec3h24
no_clinic_id,1609201417,14931,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr00350x96j3ppvo34
no_clinic_id,1609201417,7352,,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health LA,2025-12-16 23:54:47,cmj98pack00090xt56bvl4gxa
no_clinic_id,1609201417,7352,,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health LA,2026-01-02 19:57:47,cmjxapzsl00a90xfqr8r4qwjj
no_clinic_id,1609281583,11562,,,ORDER_ONLY,0,,Parsley Health LA,2026-06-11 23:53:05,cmqa5kvkp001z0x9636yo0fri
no_clinic_id,1609281583,14927,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr00310x96u4zpxqms
no_clinic_id,1629059274,23307,,,ORDER_ONLY,0,23307,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvks004n0x96k2hdz2ti
no_clinic_id,1629501259,23305,,,ORDER_ONLY,0,23305,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvks004m0x96rlubokz5
no_clinic_id,1629512744,4841,,,ORDER_ONLY,0,,FEM Centre (Fort Worth),2026-06-11 23:53:05,cmqa5kvkn000u0x96fgaqi1o3
no_clinic_id,1639180516,1968,,ATHENA,FULL_INTEGRATION,1,1968,FEM Centre (Fort Worth),2026-01-02 19:58:00,cmjxaq9vp00ct0xfqze8ksuzi
no_clinic_id,1639180516,1968,,ATHENA,FULL_INTEGRATION,1,1968,FEM Centre (Fort Worth),2025-12-17 00:22:30,cmj99oxas00170xj17hcfwspt
no_clinic_id,1639180516,1974,,ATHENA,FULL_INTEGRATION,1,1974,FEM Centre (Colleyville),2025-12-17 00:22:30,cmj99oxw0001j0xj1smejzre7
no_clinic_id,1639180516,1974,,ATHENA,FULL_INTEGRATION,1,1974,FEM Centre (Colleyville),2026-01-02 19:58:02,cmjxaqb5b00d50xfqtu5oo0b1
no_clinic_id,1649603325,20550,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvks00480x961fq40e8x
no_clinic_id,1659746493,2871,,ATHENA,FULL_INTEGRATION,1,2871,Stetson Hills Family Medicine INT5,2025-12-17 00:22:31,cmj99oyny001z0xj16brqvrss
no_clinic_id,1659746493,2871,,ATHENA,FULL_INTEGRATION,1,2871,Stetson Hills Family Medicine INT5,2026-01-02 19:58:04,cmjxaqctt00dl0xfqmaknc0db
no_clinic_id,1669482139,30326,,MDHQ(Cerbo),FULL_INTEGRATION,1,30111,Vitalis-Health4184945,2026-01-02 19:56:58,cmjxaoxq0000d0xfq0vn55ozx
no_clinic_id,1679108344,13136,,,ORDER_ONLY,0,,Rupa Health,2026-06-11 23:53:05,cmqa5kvkq002j0x96z9roi5mj
no_clinic_id,1679508675,9894,,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health LA,2026-01-02 19:57:47,cmjxapzkd00a70xfqp2hbwis4
no_clinic_id,1679508675,9894,,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health LA,2025-12-16 23:54:47,cmj98pa9700070xt56ln5ns1v
no_clinic_id,1699904912,25060,,,ORDER_ONLY,0,25060,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkt004s0x96h4gazg9s
no_clinic_id,1700032026,1972,,ATHENA,FULL_INTEGRATION,1,1972,FEM Centre (Fort Worth),2026-01-02 19:58:01,cmjxaqaq800d10xfqej7ihazu
no_clinic_id,1700032026,1972,,ATHENA,FULL_INTEGRATION,1,1972,FEM Centre (Fort Worth),2025-12-17 00:22:30,cmj99oxon001f0xj13qn7tc2i
no_clinic_id,1700032026,1978,,,ORDER_ONLY,0,,FEM Centre (Colleyville),2026-06-11 23:53:05,cmqa5kvkm000f0x96y5c0u6to
no_clinic_id,1700105301,1970,,ATHENA,FULL_INTEGRATION,1,1970,FEM Centre (Fort Worth),2026-01-02 19:58:01,cmjxaqab700cx0xfq201spyy2
